Age,Gender,Day_of_Week,Session_Type,Tattoo_Size,Tattoo_Style,Artist_Name
40,Female,Tuesday,Walk-in,Large,Custom,Artist D
50,Male,Monday,Walk-in,Small,Realism,Artist B
29,Female,Tuesday,Walk-in,Sleeve/Back,Realism,Artist D
31,Female,Thursday,Pre-booked,Small,Minimalist,Artist E
52,Female,Wednesday,Pre-booked,Small,Minimalist,Artist D
37,Female,Thursday,Walk-in,Medium,Custom,Artist D
49,Male,Wednesday,Walk-in,Large,Minimalist,Artist B
47,Female,Monday,Pre-booked,Medium,Realism,Artist A
47,Female,Saturday,Walk-in,Sleeve/Back,Minimalist,Artist A
25,Female,Friday,Pre-booked,Large,Custom,Artist C
46,Female,Saturday,Pre-booked,Sleeve/Back,Script,Artist B
19,Female,Thursday,Walk-in,Sleeve/Back,Minimalist,Artist D
52,Male,Saturday,Walk-in,Sleeve/Back,Custom,Artist E
34,Male,Monday,Pre-booked,Small,Script,Artist E
41,Male,Wednesday,Pre-booked,Small,Minimalist,Artist B
40,Male,Tuesday,Walk-in,Small,Custom,Artist D
32,Male,Saturday,Walk-in,Medium,Minimalist,Artist E
55,Male,Friday,Walk-in,Sleeve/Back,Minimalist,Artist C
34,Male,Monday,Pre-booked,Small,Script,Artist E
44,Female,Friday,Pre-booked,Sleeve/Back,Custom,Artist E
18,Female,Tuesday,Pre-booked,Large,Custom,Artist C
35,Male,Sunday,Pre-booked,Large,Script,Artist D
19,Male,Thursday,Pre-booked,Small,Custom,Artist C
20,Male,Thursday,Walk-in,Sleeve/Back,Custom,Artist C
34,Male,Wednesday,Pre-booked,Large,Custom,Artist A
28,Male,Friday,Pre-booked,Sleeve/Back,Realism,Artist E
58,Male,Wednesday,Walk-in,Sleeve/Back,Realism,Artist B
37,Female,Sunday,Pre-booked,Sleeve/Back,Minimalist,Artist B
49,Male,Thursday,Pre-booked,Sleeve/Back,Script,Artist C
35,Female,Saturday,Walk-in,Medium,Realism,Artist A
51,Female,Saturday,Pre-booked,Large,Custom,Artist D
27,Male,Thursday,Pre-booked,Large,Minimalist,Artist D
43,Female,Saturday,Pre-booked,Large,Script,Artist C
34,Female,Friday,Walk-in,Sleeve/Back,Minimalist,Artist E
25,Female,Friday,Walk-in,Sleeve/Back,Minimalist,Artist E
22,Male,Friday,Walk-in,Sleeve/Back,Custom,Artist E
20,Female,Wednesday,Walk-in,Large,Script,Artist B
57,Female,Sunday,Walk-in,Medium,Script,Artist C
23,Male,Friday,Pre-booked,Small,Realism,Artist A
38,Female,Thursday,Pre-booked,Large,Script,Artist C
50,Female,Thursday,Walk-in,Sleeve/Back,Minimalist,Artist D
48,Female,Sunday,Walk-in,Large,Custom,Artist D
39,Male,Thursday,Walk-in,Small,Realism,Artist E
55,Female,Sunday,Walk-in,Sleeve/Back,Minimalist,Artist C
38,Female,Wednesday,Walk-in,Large,Realism,Artist E
43,Female,Thursday,Pre-booked,Medium,Script,Artist A
22,Male,Sunday,Walk-in,Medium,Minimalist,Artist D
37,Female,Monday,Pre-booked,Sleeve/Back,Script,Artist E
58,Male,Monday,Pre-booked,Medium,Realism,Artist A
37,Male,Tuesday,Pre-booked,Small,Custom,Artist E
22,Female,Friday,Walk-in,Large,Realism,Artist B
53,Male,Wednesday,Pre-booked,Sleeve/Back,Realism,Artist B
55,Male,Sunday,Walk-in,Sleeve/Back,Script,Artist B
33,Female,Tuesday,Walk-in,Medium,Realism,Artist C
24,Male,Tuesday,Walk-in,Large,Realism,Artist B
35,Female,Tuesday,Pre-booked,Small,Minimalist,Artist A
42,Female,Thursday,Pre-booked,Small,Custom,Artist C
32,Male,Saturday,Walk-in,Large,Realism,Artist B
46,Female,Sunday,Pre-booked,Small,Custom,Artist A
34,Female,Saturday,Walk-in,Sleeve/Back,Realism,Artist C
24,Male,Saturday,Pre-booked,Small,Custom,Artist D
37,Male,Tuesday,Pre-booked,Large,Script,Artist C
44,Female,Friday,Pre-booked,Medium,Realism,Artist B
33,Female,Tuesday,Walk-in,Large,Script,Artist E
30,Female,Wednesday,Pre-booked,Small,Script,Artist B
25,Female,Wednesday,Walk-in,Sleeve/Back,Custom,Artist A
39,Male,Tuesday,Walk-in,Medium,Custom,Artist C
32,Male,Thursday,Pre-booked,Large,Custom,Artist B
21,Female,Monday,Walk-in,Medium,Realism,Artist A
54,Male,Friday,Walk-in,Small,Script,Artist C
36,Female,Saturday,Walk-in,Medium,Script,Artist E
32,Female,Friday,Walk-in,Large,Minimalist,Artist D
32,Female,Friday,Walk-in,Large,Custom,Artist D
45,Female,Wednesday,Walk-in,Sleeve/Back,Realism,Artist E
25,Male,Thursday,Pre-booked,Small,Custom,Artist C
19,Female,Monday,Pre-booked,Small,Custom,Artist C
20,Male,Wednesday,Walk-in,Medium,Custom,Artist D
18,Female,Thursday,Walk-in,Small,Realism,Artist E
43,Male,Wednesday,Walk-in,Medium,Custom,Artist D
32,Female,Tuesday,Walk-in,Sleeve/Back,Minimalist,Artist D
57,Male,Wednesday,Pre-booked,Large,Script,Artist E
40,Female,Thursday,Pre-booked,Large,Realism,Artist D
47,Male,Tuesday,Walk-in,Sleeve/Back,Script,Artist C
29,Male,Sunday,Walk-in,Large,Script,Artist D
48,Female,Tuesday,Walk-in,Small,Realism,Artist C
29,Female,Sunday,Pre-booked,Sleeve/Back,Custom,Artist C
56,Male,Saturday,Pre-booked,Small,Script,Artist D
34,Male,Monday,Walk-in,Small,Script,Artist C
45,Female,Sunday,Pre-booked,Large,Minimalist,Artist C
44,Female,Tuesday,Pre-booked,Medium,Script,Artist E
24,Female,Thursday,Pre-booked,Medium,Script,Artist E
24,Female,Monday,Walk-in,Sleeve/Back,Realism,Artist D
41,Female,Wednesday,Pre-booked,Sleeve/Back,Realism,Artist C
21,Male,Friday,Walk-in,Large,Realism,Artist A
28,Female,Tuesday,Walk-in,Sleeve/Back,Minimalist,Artist C
25,Male,Monday,Walk-in,Small,Custom,Artist B
30,Female,Monday,Pre-booked,Sleeve/Back,Script,Artist B
38,Male,Saturday,Walk-in,Small,Minimalist,Artist A
19,Male,Wednesday,Walk-in,Medium,Script,Artist D
27,Male,Monday,Pre-booked,Sleeve/Back,Realism,Artist A
36,Male,Saturday,Pre-booked,Sleeve/Back,Script,Artist D
52,Female,Friday,Pre-booked,Small,Minimalist,Artist B
23,Male,Sunday,Walk-in,Small,Script,Artist A
19,Male,Monday,Pre-booked,Small,Script,Artist E
47,Female,Tuesday,Walk-in,Sleeve/Back,Custom,Artist E
50,Male,Monday,Walk-in,Small,Custom,Artist C
59,Female,Monday,Walk-in,Sleeve/Back,Realism,Artist B
25,Male,Thursday,Pre-booked,Sleeve/Back,Script,Artist D
59,Female,Saturday,Pre-booked,Small,Script,Artist C
26,Female,Saturday,Pre-booked,Large,Custom,Artist E
49,Female,Monday,Walk-in,Small,Script,Artist D
57,Male,Saturday,Pre-booked,Small,Minimalist,Artist C
59,Female,Thursday,Walk-in,Small,Realism,Artist E
45,Female,Tuesday,Walk-in,Medium,Custom,Artist D
51,Female,Tuesday,Pre-booked,Sleeve/Back,Minimalist,Artist C
51,Male,Saturday,Walk-in,Sleeve/Back,Custom,Artist D
27,Female,Friday,Pre-booked,Small,Custom,Artist B
50,Female,Tuesday,Walk-in,Medium,Minimalist,Artist E
59,Male,Friday,Walk-in,Small,Custom,Artist B
21,Female,Sunday,Walk-in,Sleeve/Back,Script,Artist C
42,Male,Monday,Walk-in,Medium,Custom,Artist C
43,Male,Sunday,Pre-booked,Large,Script,Artist B
51,Male,Saturday,Walk-in,Small,Minimalist,Artist A
42,Male,Tuesday,Pre-booked,Small,Script,Artist C
38,Male,Thursday,Walk-in,Large,Custom,Artist C
44,Male,Monday,Pre-booked,Medium,Script,Artist E
52,Female,Friday,Walk-in,Large,Minimalist,Artist E
20,Female,Wednesday,Walk-in,Sleeve/Back,Minimalist,Artist B
53,Female,Sunday,Walk-in,Small,Realism,Artist E
50,Female,Thursday,Walk-in,Small,Minimalist,Artist B
29,Male,Sunday,Pre-booked,Sleeve/Back,Minimalist,Artist C
30,Female,Monday,Walk-in,Medium,Custom,Artist C
27,Male,Monday,Walk-in,Small,Minimalist,Artist C
24,Male,Friday,Pre-booked,Large,Custom,Artist B
20,Male,Monday,Pre-booked,Sleeve/Back,Script,Artist C
21,Male,Monday,Walk-in,Large,Realism,Artist A
22,Female,Sunday,Walk-in,Sleeve/Back,Minimalist,Artist E
24,Male,Thursday,Walk-in,Sleeve/Back,Script,Artist E
44,Female,Monday,Pre-booked,Sleeve/Back,Custom,Artist A
48,Female,Tuesday,Walk-in,Sleeve/Back,Realism,Artist A
46,Male,Sunday,Walk-in,Medium,Minimalist,Artist D
31,Male,Wednesday,Walk-in,Large,Custom,Artist C
57,Female,Monday,Walk-in,Large,Script,Artist A
32,Female,Saturday,Pre-booked,Sleeve/Back,Script,Artist B
23,Female,Sunday,Walk-in,Large,Script,Artist A
22,Female,Wednesday,Walk-in,Sleeve/Back,Minimalist,Artist B
48,Female,Friday,Walk-in,Sleeve/Back,Custom,Artist E
25,Male,Thursday,Pre-booked,Small,Custom,Artist C
38,Female,Friday,Walk-in,Large,Realism,Artist D
47,Male,Monday,Pre-booked,Large,Minimalist,Artist C
29,Female,Wednesday,Pre-booked,Medium,Minimalist,Artist B
28,Female,Monday,Pre-booked,Sleeve/Back,Realism,Artist C
38,Female,Thursday,Pre-booked,Large,Script,Artist E
59,Male,Saturday,Walk-in,Large,Minimalist,Artist E
32,Female,Monday,Pre-booked,Medium,Minimalist,Artist C
56,Male,Wednesday,Walk-in,Sleeve/Back,Realism,Artist D
22,Female,Wednesday,Pre-booked,Medium,Script,Artist E
49,Male,Wednesday,Pre-booked,Small,Minimalist,Artist D
57,Male,Friday,Pre-booked,Large,Minimalist,Artist A
29,Female,Tuesday,Pre-booked,Sleeve/Back,Script,Artist B
40,Female,Wednesday,Walk-in,Large,Minimalist,Artist B
39,Male,Tuesday,Pre-booked,Sleeve/Back,Custom,Artist B
52,Female,Tuesday,Pre-booked,Medium,Custom,Artist C
26,Male,Monday,Walk-in,Large,Realism,Artist E
29,Female,Saturday,Pre-booked,Sleeve/Back,Custom,Artist C
42,Male,Friday,Pre-booked,Medium,Minimalist,Artist E
57,Male,Friday,Walk-in,Small,Realism,Artist D
44,Male,Wednesday,Walk-in,Large,Minimalist,Artist B
43,Male,Saturday,Walk-in,Small,Script,Artist D
33,Male,Monday,Walk-in,Large,Minimalist,Artist A
52,Female,Thursday,Walk-in,Large,Minimalist,Artist B
29,Female,Tuesday,Pre-booked,Small,Script,Artist E
44,Male,Monday,Walk-in,Large,Realism,Artist C
35,Female,Sunday,Walk-in,Medium,Minimalist,Artist E
33,Female,Sunday,Walk-in,Sleeve/Back,Script,Artist B
50,Male,Friday,Walk-in,Sleeve/Back,Minimalist,Artist D
58,Female,Wednesday,Pre-booked,Large,Script,Artist C
26,Male,Sunday,Walk-in,Medium,Custom,Artist E
44,Female,Thursday,Walk-in,Sleeve/Back,Script,Artist A
18,Male,Saturday,Walk-in,Large,Script,Artist C
20,Female,Sunday,Walk-in,Sleeve/Back,Realism,Artist D
42,Female,Friday,Pre-booked,Large,Custom,Artist D
55,Female,Friday,Pre-booked,Large,Minimalist,Artist D
30,Male,Wednesday,Pre-booked,Sleeve/Back,Realism,Artist E
21,Female,Sunday,Pre-booked,Medium,Realism,Artist D
44,Male,Saturday,Walk-in,Small,Minimalist,Artist D
31,Male,Monday,Walk-in,Medium,Realism,Artist E
40,Male,Monday,Walk-in,Small,Script,Artist E
31,Male,Monday,Walk-in,Large,Custom,Artist C
44,Male,Wednesday,Pre-booked,Large,Custom,Artist E
50,Male,Sunday,Pre-booked,Medium,Realism,Artist A
58,Female,Friday,Walk-in,Large,Custom,Artist C
30,Male,Saturday,Pre-booked,Large,Custom,Artist B
29,Female,Friday,Walk-in,Medium,Custom,Artist A
27,Female,Thursday,Walk-in,Small,Realism,Artist A
57,Male,Monday,Pre-booked,Large,Realism,Artist D
27,Male,Friday,Walk-in,Medium,Minimalist,Artist A
32,Male,Saturday,Pre-booked,Medium,Minimalist,Artist A
18,Male,Tuesday,Walk-in,Sleeve/Back,Custom,Artist B
21,Female,Sunday,Walk-in,Small,Custom,Artist D
27,Male,Tuesday,Pre-booked,Large,Script,Artist C
56,Female,Wednesday,Pre-booked,Sleeve/Back,Realism,Artist D
53,Female,Monday,Pre-booked,Sleeve/Back,Custom,Artist E
54,Female,Monday,Pre-booked,Sleeve/Back,Realism,Artist E
29,Female,Monday,Walk-in,Small,Custom,Artist D
41,Male,Wednesday,Pre-booked,Small,Custom,Artist E
55,Male,Tuesday,Walk-in,Medium,Script,Artist B
29,Male,Tuesday,Walk-in,Sleeve/Back,Script,Artist E
35,Male,Wednesday,Walk-in,Small,Custom,Artist D
30,Male,Friday,Pre-booked,Medium,Script,Artist C
50,Male,Wednesday,Walk-in,Large,Script,Artist A
44,Female,Saturday,Walk-in,Small,Custom,Artist A
29,Male,Wednesday,Walk-in,Sleeve/Back,Minimalist,Artist C
25,Female,Sunday,Pre-booked,Medium,Script,Artist E
18,Male,Wednesday,Walk-in,Medium,Minimalist,Artist A
25,Male,Sunday,Pre-booked,Sleeve/Back,Realism,Artist C
37,Male,Monday,Walk-in,Large,Realism,Artist A
34,Female,Monday,Pre-booked,Medium,Custom,Artist C
33,Female,Tuesday,Walk-in,Small,Realism,Artist E
23,Male,Saturday,Pre-booked,Medium,Script,Artist A
37,Female,Thursday,Pre-booked,Medium,Minimalist,Artist C
52,Male,Wednesday,Pre-booked,Small,Custom,Artist D
19,Female,Friday,Walk-in,Sleeve/Back,Minimalist,Artist A
25,Female,Wednesday,Pre-booked,Small,Script,Artist A
59,Female,Tuesday,Walk-in,Small,Custom,Artist B
32,Male,Tuesday,Pre-booked,Sleeve/Back,Custom,Artist D
29,Female,Friday,Pre-booked,Small,Script,Artist D
28,Male,Thursday,Walk-in,Medium,Custom,Artist E
37,Female,Friday,Walk-in,Small,Realism,Artist B
57,Male,Wednesday,Walk-in,Medium,Custom,Artist E
19,Female,Wednesday,Walk-in,Sleeve/Back,Minimalist,Artist C
48,Male,Friday,Walk-in,Medium,Custom,Artist C
19,Male,Tuesday,Pre-booked,Medium,Realism,Artist D
35,Female,Saturday,Walk-in,Large,Minimalist,Artist B
39,Female,Tuesday,Walk-in,Medium,Custom,Artist A
34,Female,Saturday,Pre-booked,Medium,Script,Artist B
43,Female,Friday,Pre-booked,Sleeve/Back,Realism,Artist C
51,Male,Monday,Pre-booked,Large,Realism,Artist D
33,Female,Sunday,Walk-in,Small,Custom,Artist C
23,Male,Sunday,Pre-booked,Medium,Realism,Artist A
23,Male,Saturday,Walk-in,Small,Realism,Artist A
31,Male,Sunday,Walk-in,Medium,Custom,Artist B
23,Female,Friday,Pre-booked,Sleeve/Back,Script,Artist B
44,Male,Tuesday,Pre-booked,Large,Minimalist,Artist A
24,Female,Friday,Walk-in,Small,Custom,Artist C
22,Male,Tuesday,Pre-booked,Large,Custom,Artist E
34,Male,Wednesday,Pre-booked,Medium,Script,Artist C
41,Female,Thursday,Pre-booked,Small,Realism,Artist E
51,Female,Thursday,Pre-booked,Large,Minimalist,Artist E
36,Female,Wednesday,Pre-booked,Large,Minimalist,Artist D
44,Female,Wednesday,Pre-booked,Sleeve/Back,Minimalist,Artist C
40,Male,Friday,Walk-in,Large,Script,Artist E
58,Female,Thursday,Pre-booked,Large,Minimalist,Artist E
41,Male,Saturday,Pre-booked,Small,Script,Artist A
26,Male,Friday,Pre-booked,Small,Custom,Artist B
56,Female,Thursday,Pre-booked,Sleeve/Back,Script,Artist E
49,Male,Monday,Pre-booked,Small,Realism,Artist C
58,Female,Thursday,Pre-booked,Large,Minimalist,Artist A
38,Male,Monday,Pre-booked,Small,Script,Artist E
41,Male,Tuesday,Walk-in,Medium,Script,Artist C
27,Male,Thursday,Pre-booked,Small,Script,Artist D
24,Female,Wednesday,Walk-in,Large,Script,Artist E
